"File","Path","Theme","BgStyle","DynamicBg","Callout"
"AreaChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\AreaChart.tsx","False","False","False","False"
"BarChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\BarChart.tsx","False","False","False","False"
"CandlestickChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\CandlestickChart.tsx","False","False","False","False"
"Heatmap.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\Heatmap.tsx","False","False","False","False"
"HorizontalBarChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\HorizontalBarChart.tsx","False","False","False","False"
"LineChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\LineChart.tsx","False","False","False","False"
"MultiLineChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\MultiLineChart.tsx","False","False","False","False"
"PieChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\PieChart.tsx","False","False","False","False"
"ScatterPlot.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\ScatterPlot.tsx","False","False","False","False"
"WaterfallChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\charts\WaterfallChart.tsx","False","False","False","False"
"AreaChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\AreaChart.tsx","False","False","False","False"
"BoxPlotChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\BoxPlotChart.tsx","False","False","False","False"
"BubbleChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\BubbleChart.tsx","False","False","False","False"
"BulletChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\BulletChart.tsx","False","False","False","False"
"CandlestickChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\CandlestickChart.tsx","False","False","False","False"
"Character.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\Character.tsx","False","False","False","False"
"ChordChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\ChordChart.tsx","False","False","False","False"
"CircularArrow.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\CircularArrow.tsx","False","False","False","False"
"ComparativeBarChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\ComparativeBarChart.tsx","False","False","False","False"
"Connector.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\Connector.tsx","False","False","False","False"
"DonutChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\DonutChart.tsx","False","False","False","False"
"Equipment.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\Equipment.tsx","False","False","False","False"
"FloatingCurrency.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\FloatingCurrency.tsx","False","False","False","False"
"FlowItem.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\FlowItem.tsx","False","False","False","False"
"FlowLayout.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\FlowLayout.tsx","False","False","False","False"
"FunnelChart.tsx","C:\Users\gianluca.palmisciano\.gemini\antigravity\scratch\GiantAnimator\remotion-project\src\components\FunnelChart.tsx","False","False","False","False"
